"Date","CBM.Adjusted"
2014-12-12,23.66
2014-12-15,23.34
2014-12-16,23.35
2014-12-17,23.23
2014-12-18,23.530001
2014-12-19,23
2014-12-22,21.459999
2014-12-23,21.25
2014-12-24,21.620001
2014-12-26,21.790001
2014-12-29,21.690001
2014-12-30,21.780001
2014-12-31,21.620001
2015-01-02,21.58
2015-01-05,21.52
2015-01-06,21.34
2015-01-07,21.540001
2015-01-08,22.27
2015-01-09,22.129999
2015-01-12,22.200001
2015-01-13,22.129999
2015-01-14,22.440001
2015-01-15,22.07
2015-01-16,22.360001
2015-01-20,21.92
2015-01-21,21.940001
2015-01-22,22.5
2015-01-23,22.77
2015-01-26,22.51
2015-01-27,22.219999
2015-01-28,22.469999
2015-01-29,22.870001
2015-01-30,22.43
2015-02-02,23.190001
2015-02-03,23.200001
2015-02-04,23.51
2015-02-05,23.530001
2015-02-06,30.01
2015-02-09,29.48
2015-02-10,31.08
2015-02-11,31.639999
2015-02-12,32.869999
2015-02-13,32.959999
2015-02-17,33.27
2015-02-18,33.639999
2015-02-19,33.349998
2015-02-20,33.560001
2015-02-23,33.400002
2015-02-24,32.330002
2015-02-25,33.970001
2015-02-26,34.400002
2015-02-27,34.25
2015-03-02,34.82
2015-03-03,33.950001
2015-03-04,33.970001
2015-03-05,34.400002
2015-03-06,33.77
2015-03-09,35.32
2015-03-10,33.73
2015-03-11,35.060001
2015-03-12,36.77
2015-03-13,35.98
2015-03-16,36.009998
2015-03-17,35.810001
2015-03-18,35.349998
2015-03-19,35.650002
2015-03-20,36.689999
2015-03-23,35.459999
2015-03-24,35.810001
2015-03-25,33.529999
2015-03-26,34.709999
2015-03-27,34.93
2015-03-30,35.59
2015-03-31,39.630001
2015-04-01,38.720001
2015-04-02,40.610001
2015-04-06,40.93
2015-04-07,40.689999
2015-04-08,42.509998
2015-04-09,42.279999
2015-04-10,43.209999
2015-04-13,42.950001
2015-04-14,42.75
2015-04-15,42.450001
2015-04-16,41.73
2015-04-17,40.98
2015-04-20,41.48
2015-04-21,42.720001
2015-04-22,42.07
2015-04-23,42.599998
2015-04-24,42.970001
2015-04-27,40.77
2015-04-28,41.310001
2015-04-29,40.360001
2015-04-30,38.490002
2015-05-01,37.279999
2015-05-04,38.139999
2015-05-05,35.709999
2015-05-06,37.02
2015-05-07,37.41
2015-05-08,38.709999
2015-05-11,38.169998
2015-05-12,37.779999
2015-05-13,38.060001
2015-05-14,38.990002
2015-05-15,39
2015-05-18,40.700001
2015-05-19,40.669998
2015-05-20,41.18
2015-05-21,41.240002
2015-05-22,40.91
2015-05-26,39.490002
2015-05-27,40.419998
2015-05-28,40.43
2015-05-29,40.02
2015-06-01,41.080002
2015-06-02,40.459999
2015-06-03,41.93
2015-06-04,41.439999
2015-06-05,42.689999
2015-06-08,43.139999
2015-06-09,41.48
2015-06-10,42.099998
2015-06-11,42.790001
2015-06-12,43.389999
2015-06-15,45.380001
2015-06-16,43.77
2015-06-17,43.880001
2015-06-18,45.150002
2015-06-19,44.77
2015-06-22,46.240002
2015-06-23,45.27
2015-06-24,44.630001
2015-06-25,44.880001
2015-06-26,43.990002
2015-06-29,43.009998
2015-06-30,43.939999
2015-07-01,44.849998
2015-07-02,44.240002
2015-07-06,44.41
2015-07-07,44.189999
2015-07-08,42.759998
2015-07-09,43.700001
2015-07-10,45.610001
2015-07-13,46.380001
2015-07-14,47.110001
2015-07-15,46.299999
2015-07-16,48.200001
2015-07-17,49.040001
2015-07-20,48.82
2015-07-21,48.990002
2015-07-22,49.939999
2015-07-23,49.610001
2015-07-24,48.91
2015-07-27,45.700001
2015-07-28,46.66
2015-07-29,48.029999
2015-07-30,49.93
2015-07-31,49.25
2015-08-03,49.720001
2015-08-04,52.099998
2015-08-05,53.82
2015-08-06,50
2015-08-07,50.32
2015-08-10,51.130001
2015-08-11,49.939999
2015-08-12,49.150002
2015-08-13,49.700001
2015-08-14,49.049999
2015-08-17,50.18
2015-08-18,49.509998
2015-08-19,49.310001
2015-08-20,47.700001
2015-08-21,45.139999
2015-08-24,41.68
2015-08-25,43.080002
2015-08-26,45.470001
2015-08-27,48.220001
2015-08-28,47.860001
2015-08-31,47.810001
2015-09-01,46.43
2015-09-02,45.959999
2015-09-03,44.330002
2015-09-04,43.639999
2015-09-08,45.439999
2015-09-09,44.139999
2015-09-10,45
2015-09-11,46.139999
2015-09-14,47.240002
2015-09-15,47.02
2015-09-16,47.040001
2015-09-17,48.779999
2015-09-18,46.950001
2015-09-21,44.98
2015-09-22,44.060001
2015-09-23,44.27
2015-09-24,44.16
2015-09-25,44.419998
2015-09-28,40.830002
2015-09-29,39.57
2015-09-30,39.68
2015-10-01,40.380001
2015-10-02,43.369999
2015-10-05,44.490002
2015-10-06,44.630001
2015-10-07,43.34
2015-10-08,43.259998
2015-10-09,43.23
2015-10-12,43.889999
2015-10-13,43.419998
2015-10-14,43.119999
2015-10-15,44.099998
2015-10-16,44.869999
2015-10-19,43.939999
2015-10-20,42.349998
2015-10-21,40.43
2015-10-22,41.049999
2015-10-23,43.580002
2015-10-26,43.889999
2015-10-27,44.700001
2015-10-28,47.029999
2015-10-29,45.830002
2015-10-30,45.970001
2015-11-02,47.290001
2015-11-03,50.369999
2015-11-04,50.389999
2015-11-05,50.98
2015-11-06,52.349998
2015-11-09,49.84
2015-11-10,50.02
2015-11-11,48.470001
2015-11-12,48.32
2015-11-13,48.970001
2015-11-16,48.34
2015-11-17,49.110001
2015-11-18,50.439999
2015-11-19,48.98
2015-11-20,50.18
2015-11-23,50.59
2015-11-24,51.049999
2015-11-25,52.779999
2015-11-27,53.630001
2015-11-30,53.630001
2015-12-01,52.970001
2015-12-02,53.139999
2015-12-03,50.689999
2015-12-04,52.560001
2015-12-07,50.639999
2015-12-08,51.779999
2015-12-09,51.400002
2015-12-10,52.080002
2015-12-11,51.389999
2015-12-14,50.970001
2015-12-15,52.139999
2015-12-16,51.450001
2015-12-17,50.959999
2015-12-18,49.220001
2015-12-21,50.57
2015-12-22,48.709999
2015-12-23,48.689999
2015-12-24,48.41
2015-12-28,47.709999
2015-12-29,48.32
2015-12-30,47.52
2015-12-31,47.09
2016-01-04,44.41
2016-01-05,43.68
2016-01-06,44.009998
2016-01-07,42.68
2016-01-08,41.959999
2016-01-11,40.959999
2016-01-12,41.290001
2016-01-13,40.740002
2016-01-14,42.310001
2016-01-15,41.810001
2016-01-19,39.869999
2016-01-20,38.93
2016-01-21,37.490002
2016-01-22,38.060001
2016-01-25,37.720001
2016-01-26,37.970001
2016-01-27,34.880001
2016-01-28,33.919998
2016-01-29,34.639999
2016-02-01,35.290001
2016-02-02,34.09
2016-02-03,34.18
2016-02-04,34.09
2016-02-05,31.120001
2016-02-08,32.700001
2016-02-09,37.549999
2016-02-10,36.349998
2016-02-11,36.5
2016-02-12,36.529999
2016-02-16,36.959999
2016-02-17,37.740002
2016-02-18,37.889999
2016-02-19,38.389999
2016-02-22,38.419998
2016-02-23,38.18
2016-02-24,38.389999
2016-02-25,38.169998
2016-02-26,38.790001
2016-02-29,38.57
2016-03-01,39.450001
2016-03-02,41.130001
2016-03-03,41.200001
2016-03-04,40.939999
2016-03-07,42.349998
2016-03-08,41.59
2016-03-09,41.540001
2016-03-10,41.139999
2016-03-11,41.720001
2016-03-14,41.419998
2016-03-15,40.400002
2016-03-16,40.73
2016-03-17,41.48
2016-03-18,40.740002
2016-03-21,41.099998
2016-03-22,41.939999
2016-03-23,41.610001
2016-03-24,42.68
2016-03-28,42.110001
2016-03-29,44.57
2016-03-30,44
2016-03-31,44
2016-04-01,46.84
2016-04-04,44.459999
2016-04-05,43.049999
2016-04-06,45.259998
2016-04-07,44.119999
2016-04-08,43.27
2016-04-11,42.709999
2016-04-12,42.549999
2016-04-13,44.279999
2016-04-14,44
2016-04-15,43.18
2016-04-18,44.459999
2016-04-19,44.41
2016-04-20,44.990002
2016-04-21,45.470001
2016-04-22,45.5
2016-04-25,45.540001
2016-04-26,45.099998
2016-04-27,44.82
2016-04-28,44.470001
2016-04-29,48.240002
2016-05-02,49.209999
2016-05-03,49.349998
2016-05-04,48.689999
